                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81233,                 1.2471,                 1.1577,                0.84506,                 0.6847,                0.77659,                0.53116,                 1.1116,                 1.2172,                 1.3343,               0.067651,             3.2381e-05,             3.2381e-05
                      2,                0.72219,                0.65344,                 1.0909,                0.91587,                0.90476,                0.95793,                0.80293,                 0.6374,                0.49146,                 1.0057,               0.034351,             6.4847e-05,             6.4847e-05
                      3,                0.65648,                0.56082,                 1.0649,                0.93536,                0.93061,                0.97527,                0.85811,                0.51907,                0.40326,                0.93434,              0.0010488,             9.6433e-05,             9.6433e-05
                      4,                0.65105,                0.56207,                 1.0461,                0.95617,                0.94438,                0.97964,                0.86865,                0.46443,                0.36322,                0.89413,              9.604e-05,              9.604e-05,              9.604e-05
                      5,                0.62262,                0.52092,                 1.0381,                0.95762,                0.95019,                0.98662,                0.89844,                  0.439,                0.34099,                0.86826,              9.472e-05,              9.472e-05,              9.472e-05
                      6,                0.60291,                0.50826,                 1.0154,                0.96715,                0.96228,                0.98859,                0.89057,                0.45233,                0.32007,                0.87635,               9.34e-05,               9.34e-05,               9.34e-05
                      7,                0.56331,                0.46399,                 1.0005,                0.97613,                0.95795,                0.98983,                0.91494,                0.39583,                0.30392,                0.85237,              9.208e-05,              9.208e-05,              9.208e-05
                      8,                0.56661,                0.47288,                 1.0134,                0.97294,                 0.9666,                 0.9914,                0.92577,                0.38766,                0.26979,                0.84064,              9.076e-05,              9.076e-05,              9.076e-05
                      9,                0.55221,                0.44817,                 1.0059,                0.97325,                0.96743,                0.99058,                 0.9322,                0.36774,                0.26695,                0.83134,              8.944e-05,              8.944e-05,              8.944e-05
                     10,                0.54167,                0.44108,                 1.0032,                0.97704,                0.97155,                0.99214,                0.92723,                0.39138,                0.26307,                0.84392,              8.812e-05,              8.812e-05,              8.812e-05
                     11,                0.54409,                0.44405,                0.99981,                0.98016,                0.97403,                  0.993,                0.93789,                0.36229,                0.25124,                0.82973,               8.68e-05,               8.68e-05,               8.68e-05
                     12,                0.54171,                0.42934,                0.99828,                 0.9759,                0.97662,                0.99276,                0.92853,                0.36811,                0.25935,                0.82863,              8.548e-05,              8.548e-05,              8.548e-05
                     13,                 0.5328,                0.43159,                 1.0041,                0.97653,                 0.9779,                0.99351,                0.93594,                 0.3589,                0.25116,                0.82385,              8.416e-05,              8.416e-05,              8.416e-05
                     14,                0.50457,                 0.4111,                 0.9804,                0.98372,                0.97835,                0.99383,                0.94116,                 0.3469,                0.24195,                0.81611,              8.284e-05,              8.284e-05,              8.284e-05
                     15,                0.50393,                0.40585,                0.97038,                0.98512,                0.98253,                0.99389,                0.94377,                0.34329,                0.23276,                0.81699,              8.152e-05,              8.152e-05,              8.152e-05
                     16,                0.49821,                0.39463,                0.97891,                0.98557,                0.98207,                0.99401,                0.94411,                0.33269,                0.22652,                0.80988,               8.02e-05,               8.02e-05,               8.02e-05
                     17,                 0.4819,                0.38536,                0.95658,                0.99003,                 0.9825,                0.99392,                 0.9506,                0.32656,                0.22115,                0.80741,              7.888e-05,              7.888e-05,              7.888e-05
