                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2948,                 1.8447,                  1.436,                0.54485,                0.55865,                0.53215,                0.35262,                 1.2689,                 1.4165,                 1.4737,                  0.067,             3.3033e-05,             3.3033e-05
                      2,                 1.1583,                 1.2595,                 1.3223,                0.69091,                0.66617,                0.73007,                0.51939,                 1.0694,                0.98826,                 1.2795,               0.033699,              6.549e-05,              6.549e-05
                      3,                 1.0963,                 1.1164,                  1.271,                0.74593,                0.77113,                0.81079,                0.59426,                 1.0028,                 0.8462,                 1.2359,             0.00039737,             9.7068e-05,             9.7068e-05
                      4,                 1.0588,                0.99797,                 1.2512,                0.81229,                0.78788,                0.85967,                0.64612,                0.96475,                0.73771,                 1.1979,              9.604e-05,              9.604e-05,              9.604e-05
                      5,                 1.0064,                0.92073,                  1.206,                0.82832,                0.81059,                0.87431,                0.67139,                0.90966,                0.67848,                 1.1664,              9.472e-05,              9.472e-05,              9.472e-05
                      6,                 0.9761,                0.86182,                 1.1754,                0.86438,                 0.8321,                0.90387,                0.70527,                0.89396,                0.62212,                  1.138,               9.34e-05,               9.34e-05,               9.34e-05
                      7,                0.94548,                 0.8191,                 1.1647,                0.89192,                0.86159,                0.93506,                0.74161,                0.85176,                 0.5524,                 1.1178,              9.208e-05,              9.208e-05,              9.208e-05
                      8,                0.92331,                0.73798,                 1.1472,                0.92159,                0.89657,                0.95752,                0.77441,                0.81836,                0.50102,                 1.0889,              9.076e-05,              9.076e-05,              9.076e-05
                      9,                0.89028,                0.71187,                 1.1282,                0.92671,                0.90854,                0.96702,                0.79489,                0.78657,                0.47322,                 1.0662,              8.944e-05,              8.944e-05,              8.944e-05
                     10,                0.86268,                0.66367,                 1.1093,                0.94369,                0.91532,                0.96881,                0.80336,                0.77777,                0.44726,                 1.0601,              8.812e-05,              8.812e-05,              8.812e-05
